%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1492398279897321222,307,1492398279827917098,,-176.119958891,1.93890813634,-1.61679031067,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035108726625,0.0120590843625,-0.028392274575,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.78152282361,1.3907614118,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279917313069,308,1492398279847968101,,-176.159655038,2.83268517683,-1.61679031067,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0352613732625,0.0120590843625,-0.0261025750125,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.75477741184,2.03265129417,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279937387503,309,1492398279867909908,,-176.159655038,2.83268517683,-1.62333252509,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032666380425,0.0123643776375,-0.028392274575,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.75477741184,2.03265129417,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279957278031,310,1492398279887903928,,-176.159655038,2.83268517683,-1.62333252509,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0328190270625,0.0114484978125,-0.0261025750125,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.75477741184,2.03265129417,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279977274179,311,1492398279907903909,,-176.109107122,2.52236199674,-1.62333252509,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03480343335,0.0102273247125,-0.027171101475,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.79043796086,1.8097728628,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279997863553,312,1492398279927913904,,-176.109107122,2.52236199674,-1.62333252509,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0325137337875,0.0129749641875,-0.0306819741375,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.79043796086,1.8097728628,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398280017244734,313,1492398279948015928,,-176.109107122,2.52236199674,-1.62333252509,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03236108715,0.0126696709125,-0.0317505006,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.79043796086,1.8097728628,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398280037276459,314,1492398279967919111,,-176.109107122,2.52236199674,-1.38035407344,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0343454934375,0.013127610825,-0.0291555077625,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.79043796086,1.8097728628,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398280057371129,315,1492398279987915039,,-176.106104976,1.14372655595,-1.38035407344,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03480343335,0.01160114445,-0.0312925606875,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.79043796086,0.820192627474,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398280077234143,316,1492398280007911920,,-176.106104976,1.14372655595,-1.38035407344,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0343454934375,0.010685264625,-0.033887553525,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.79043796086,0.820192627474,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
